Date,Optimized Portfolio,Equal Weight Portfolio,NIFTY 50 Benchmark
2024-05-29,0.001788538408275252,-0.005039861125942747,-0.008015115627261094
2024-05-30,-0.01061025740163823,-0.014848260742715308,-0.009515599658179275
2024-05-31,0.002923946401081714,0.0012960822031970454,0.0018697799732139142
2024-06-03,0.03254559349085347,0.029654506675036246,0.03254231769535276
2024-06-04,-0.05523591161558988,-0.052467564754489014,-0.05929359941641077
2024-06-05,0.03985804854376644,0.03621030421447297,0.033624236760035675
2024-06-06,0.005715247643948097,0.008207318693047205,0.008888049244237806
2024-06-07,0.0246461753894432,0.019543786846485584,0.020539931466807104
2024-06-10,0.004327216897563255,0.0028644260944833528,-0.0013289382574128705
2024-06-11,0.0038255327556382416,0.0021187853169072415,0.0002429314342191624
2024-06-12,0.005223892995515479,0.0034688098288983317,0.002497312914139238
2024-06-13,0.0025261205938019284,0.00398794216272216,0.0032564994745150067
2024-06-14,0.007277625766062435,0.0028829933124821412,0.0028505279152657437
2024-06-18,0.0022402198642136753,0.0026658011137802736,0.003933450786960613
2024-06-19,-0.01773429745678492,-0.0077624700985071265,-0.0017786131162043084
2024-06-20,-0.008845992208297905,0.0018417097566717497,0.0021687361796223215
2024-06-21,0.0033211786674662474,-0.0033667517415999697,-0.00279629951309035
2024-06-24,0.004586427594993495,0.0017370715531960415,0.00156375661610908
2024-06-25,-0.0031317094677683153,0.0007625514799634322,0.007793879853915442
2024-06-26,0.0015757731868907693,0.0014010788071718552,0.006218040121837909
2024-06-27,0.006603607888623625,0.008449652617267047,0.007361040898544724
2024-06-28,-0.002251932972015539,0.001661123956585192,-0.0014099020825968367
2024-07-01,0.0028761269923691444,0.00439015584293318,0.005470484349075377
2024-07-02,-0.0072206499072989,-0.002253517240754791,-0.0007497161563467802
2024-07-03,0.0021846032930881816,0.00670716272194869,0.006742306607722792
2024-07-04,0.004354203539284334,-0.00029901958607255483,0.0006444070008029268
2024-07-05,0.00877697252547054,0.006200072137273028,0.0008928929498506211
2024-07-08,-0.006422536484693557,-0.003018774429033728,-0.00013562113637344275
2024-07-09,0.008109078749549678,0.006692974006444177,0.004631820986013446
2024-07-10,-0.007154546111583542,-0.0014853711671001877,-0.004450911197766749
2024-07-11,-0.0038886755808632883,-0.00017589911019204674,-0.0003494426502141934
2024-07-12,0.0015467321334691347,0.006172855460581849,0.007657573644356042
2024-07-15,0.010514514919365205,0.005777270988779007,0.003450669707641296
2024-07-16,0.006915347034400959,0.002579822279332653,0.0010697158254551198
2024-07-18,0.0015452069080359246,0.005599241456080496,0.007632129743428306
2024-07-19,-0.019630977712303755,-0.01640144545114523,-0.010884676251089243
2024-07-22,0.006283916730314294,0.0013943446181068399,-0.0008825762723847497
2024-07-23,0.0023861502150272417,0.0015353549426456177,-0.0012321559717249908
2024-07-24,-0.0039214097606193165,-0.002802635011622546,-0.002677831825905974
2024-07-25,0.0018689555856318653,0.0011458969234455706,-0.0003031269840456652
2024-07-26,0.030647503956588017,0.019699756528111657,0.01756732976027453
2024-07-29,-0.0031981239439814535,0.0012262786515496846,5.03324972633834e-05
2024-07-30,-0.0024265107427956655,0.0020915854633647493,0.0008536433743000504
2024-07-31,0.007528856760121666,0.005664735451837199,0.00377553501085659
2024-08-01,0.005934186201429921,0.002646201829795414,0.0023946791656728195
2024-08-02,-0.011154567035372438,-0.013910234153144404,-0.011722935491954689
2024-08-05,-0.018406239462050916,-0.02446049776719667,-0.02678645789462286
2024-08-06,-0.005193604136236407,-0.0022659375460526384,-0.0026209626510589334
2024-08-07,0.02146171730880553,0.01425102997620998,0.012710162480444431
